ObjectType	ObjectName	ParentName	ExtraInfo	DateCaptured
Table	db_inventory			15-Dec-25
Column	DateCaptured	db_inventory	Type=7, Size=0	15-Dec-25
Column	ExtraInfo	db_inventory	Type=202, Size=255	15-Dec-25
Column	ObjectName	db_inventory	Type=202, Size=255	15-Dec-25
Column	ObjectType	db_inventory	Type=202, Size=50	15-Dec-25
Column	ParentName	db_inventory	Type=202, Size=255	15-Dec-25
Table	tbl_100_Alpha			15-Dec-25
Column	2AFSC	tbl_100_Alpha	Type=202, Size=255	15-Dec-25
Column	3AFSC	tbl_100_Alpha	Type=202, Size=255	15-Dec-25
Column	4AFSC	tbl_100_Alpha	Type=202, Size=255	15-Dec-25
Column	Addr_Mail	tbl_100_Alpha	Type=202, Size=255	15-Dec-25
Column	Addr_Res	tbl_100_Alpha	Type=202, Size=255	15-Dec-25
Column	Admin	tbl_100_Alpha	Type=202, Size=255	15-Dec-25
Column	Admin_Stop_Dt	tbl_100_Alpha	Type=7, Size=0	15-Dec-25
Column	Age	tbl_100_Alpha	Type=5, Size=0	15-Dec-25
Column	ANG_Tech_Id	tbl_100_Alpha	Type=202, Size=255	15-Dec-25
Column	AS_OF	tbl_100_Alpha	Type=7, Size=0	15-Dec-25
Column	Auth_AFSC	tbl_100_Alpha	Type=202, Size=255	15-Dec-25
Column	Auth_Grade	tbl_100_Alpha	Type=5, Size=0	15-Dec-25
Column	Birth_City	tbl_100_Alpha	Type=202, Size=255	15-Dec-25
Column	Birth_State	tbl_100_Alpha	Type=202, Size=255	15-Dec-25
Column	CAFSC	tbl_100_Alpha	Type=202, Size=255	15-Dec-25
Column	City_Mail	tbl_100_Alpha	Type=202, Size=255	15-Dec-25
Column	City_Res	tbl_100_Alpha	Type=202, Size=255	15-Dec-25
Column	Civ_ART_Id	tbl_100_Alpha	Type=202, Size=255	15-Dec-25
Column	Current Duty Phone	tbl_100_Alpha	Type=5, Size=0	15-Dec-25
Column	Current Office Symbol	tbl_100_Alpha	Type=202, Size=255	15-Dec-25
Column	DAFSC	tbl_100_Alpha	Type=202, Size=255	15-Dec-25
Column	DAS	tbl_100_Alpha	Type=7, Size=0	15-Dec-25
Column	DEROS	tbl_100_Alpha	Type=7, Size=0	15-Dec-25
Column	DOB	tbl_100_Alpha	Type=7, Size=0	15-Dec-25
Column	DOD_ID	tbl_100_Alpha	Type=5, Size=0	15-Dec-25
Column	DOE	tbl_100_Alpha	Type=202, Size=255	15-Dec-25
Column	DOS	tbl_100_Alpha	Type=7, Size=0	15-Dec-25
Column	Dt_20_Yr_Sat_Svc_Compl	tbl_100_Alpha	Type=202, Size=255	15-Dec-25
Column	Duty Status Desc	tbl_100_Alpha	Type=202, Size=255	15-Dec-25
Column	Duty_Eff_Dt	tbl_100_Alpha	Type=7, Size=0	15-Dec-25
Column	DUTY_EFF_DT2	tbl_100_Alpha	Type=7, Size=0	15-Dec-25
Column	Duty_Status	tbl_100_Alpha	Type=5, Size=0	15-Dec-25
Column	Duty_Status_Start_Dt	tbl_100_Alpha	Type=7, Size=0	15-Dec-25
Column	EDCSA_Date	tbl_100_Alpha	Type=7, Size=0	15-Dec-25
Column	ETS	tbl_100_Alpha	Type=7, Size=0	15-Dec-25
Column	First_Name	tbl_100_Alpha	Type=202, Size=255	15-Dec-25
Column	Home_Phone	tbl_100_Alpha	Type=5, Size=0	15-Dec-25
Column	HYTMSD	tbl_100_Alpha	Type=7, Size=0	15-Dec-25
Column	Last_Name	tbl_100_Alpha	Type=202, Size=255	15-Dec-25
